Year,Stand,Trapno,Species,Filled_seeds,Unfilled_seeds,Cones,FilledSeeds_Cones,UnfilledSeeds_Cones,Field Notes,Data Entry Notes
2019,TO04,1,PSME,0,2,0,0,0,,
2019,TO04,1,THPL,534,134,2,1,2,"seeds in 5 vials, weighed / estimated, cone seeds underdeveloped",
2019,TO04,1,TSHE,388,30,26,2,2,many seeds from cones are very small (fell apart),
2019,TO04,2,ABAM,0,1,0,0,0,,
2019,TO04,2,PSME,2,4,0,0,0,weighed / estimated,
2019,TO04,2,THPL,770,154,2,0,0,"weighed / estimated, seeds in 6 vials",
2019,TO04,2,TSHE,385,29,36,106,14,weighed / estimated,
2019,TO04,3,ABAM,2,3,0,0,0,,
2019,TO04,3,ALSI,1,0,0,0,0,could also be ALRU?,
2019,TO04,3,PSME,1,1,0,0,0,,
2019,TO04,3,THPL,799,290,4,0,0,"weighed / estimated, seeds in 6 vials",
2019,TO04,3,TSHE,240,22,9,31,7,,
2019,TO04,4,ABAM,1,0,0,0,0,,
2019,TO04,4,PSME,0,5,0,0,0,,
2019,TO04,4,THPL,812,203,11,3,3,"weighed / estimated, seeds in 7 vials",
2019,TO04,4,TSHE,281,51,10,10,9,,
2019,TO04,5,ABAM,3,3,0,0,0,,
2019,TO04,5,PSME,3,1,0,0,0,,
2019,TO04,5,THPL,1126,483,10,10,4,"weighed / estimated, seeds in 8 vials",
2019,TO04,5,TSHE,223,27,4,15,7,,
2019,TO04,6,ABAM,1,3,0,0,0,,
2019,TO04,6,PSME,0,1,0,0,0,,
2019,TO04,6,THPL,1105,336,18,12,4,"weighed / estimated, seeds are in 9 vials",
2019,TO04,6,TSHE,280,87,0,2,0,1 cone scale with seeds,
2019,TO11,1,ABAM,1,0,0,0,0,,
2019,TO11,1,PSME,12,2,0,0,1,1 cone scale with seed,
2019,TO11,1,THPL,19,2,0,0,0,Broke 1 filled seed in half,
2019,TO11,1,TSHE,399,23,8,27,5,"3 cone scales, filled seeds in 2 vials labeled A and B",
2019,TO11,2,PSME,6,7,1,0,0,,
2019,TO11,2,THPL,12,8,0,0,0,,
2019,TO11,2,TSHE,364,22,12,36,8,,
2019,TO11,3,ALRU,2,0,0,0,0,could also be ALSI?,
2019,TO11,3,PISI,8,0,0,0,0,,
2019,TO11,3,PSME,3,4,0,0,2,2 cone scales with seeds,
2019,TO11,3,THPL,21,13,0,0,0,Broke 1 filled seed in half,
2019,TO11,3,TSHE,329,88,47,91,23,many ACCI seedlings in this trap,
2019,TO11,4,ALRU,0,1,0,0,0,"could also be ALSI?, broke unfilled seed apart",
2019,TO11,4,PISI,4,1,0,0,0,,
2019,TO11,4,PSME,3,4,0,0,0,Broke 1 filled seed in half,
2019,TO11,4,THPL,10,9,0,0,0,,
2019,TO11,4,TSHE,284,41,39,15,6,,
2019,TO11,5,ALRU,2,0,0,0,0,,
2019,TO11,5,PSME,5,2,1,0,0,,
2019,TO11,5,THPL,12,18,0,0,0,,
2019,TO11,5,TSHE,388,41,47,46,7,,
2019,TO11,6,ALRU,2,0,0,0,0,,
2019,TO11,6,PSME,1,2,0,0,0,,
2019,TO11,6,THPL,15,9,0,0,0,,
2019,TO11,6,TSHE,378,30,1,0,0,,
